Rec,Inf,Name,xG,Tck,DrbPG,Mins,Av Rat,Gls,Pens S,Pens,Cr C/A,Hdr %,Pas %,Shot %,Ps C,ShT,Cr C,Cr A,K Ps/90,K Tck,K Hdrs,ShT/90,Asts/90,Ps C/90,Ps A/90,Tck A,Hdrs W/90,Shot/90,Tck W,Distance,Int/90,Tck R,Off,Aer A/90,Shots,CCC,Ch C/90,Gl Mst,Fls,Division,Age
- - -,Ama,Domagoj Abramović,0.00,0.64,-,"3,780",6.06,8,0,0,0%,-,55%,39%,466,45,0,0,-,0,0,1.07,0.02,11.10,20.00,-,-,2.76,27,0.0km,-,82%,0,-,116,0,-,0,33,Croatian Regional League - Zagreb (21),40
- - -,,Zoran Ratković,5.01,1.53,-,"1,415",6.60,4,0,0,33%,39%,72%,61%,422,19,16,48,0.64,1,0,1.21,0.06,26.84,37.46,-,1.40,1.97,24,83.3km,1.34,57%,18,3.56,31,3,0.21,0,21,Croatian Third League East,42
- - -,Ama,Jure ŽIlić,0.00,0.68,-,"3,714",5.85,10,4,4,0%,-,54%,41%,454,43,0,0,-,0,0,1.04,-,11.00,20.36,-,-,2.54,28,0.0km,-,93%,0,-,105,0,-,0,41,Croatian Regional League - Split (17),46
- - -,,Sergey Traskevich,0.00,1.29,-,630,6.40,2,0,0,0%,-,59%,45%,83,9,0,0,-,0,0,1.29,0.14,11.86,20.00,-,-,2.86,9,0.0km,-,56%,0,-,20,0,-,0,8,Belarusian Lower League,39
- - -,Ama,Ekundayo Jayeoba,0.00,0.56,-,"3,870",5.64,4,0,0,0%,-,53%,28%,457,27,0,0,-,0,0,0.63,0.07,10.63,20.00,-,-,2.26,24,0.0km,-,67%,0,-,97,0,-,0,45,Bulgarian Third League South-West,41
- - -,,Jaka Štromajer,3.44,2.65,-,645,6.91,6,0,0,9%,77%,66%,53%,141,16,1,11,0.14,0,0,2.23,-,19.67,30.00,-,1.40,4.19,19,23.0km,0.84,51%,3,1.81,30,0,-,0,5,Slovenian Third League West,37
- - -,,Saša Kostić,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Slovenian Third League West,41
- - -,Ama,Goran Ristić,0.00,0.55,-,"3,082",6.44,10,0,0,0%,-,55%,34%,386,31,0,0,-,0,0,0.91,0.15,11.27,20.44,-,-,2.69,19,0.0km,-,90%,0,-,92,0,-,0,29,Slovenian Lower League,43
- - -,Ama,Romano Obilinović,0.00,0.68,-,"3,696",6.02,9,2,2,0%,-,54%,36%,466,38,0,0,-,0,0,0.93,0.10,11.35,20.94,-,-,2.56,28,0.0km,-,90%,0,-,105,0,-,0,76,Croatian Regional League - Split (17),41
- - -,,Mitja Zatkovič,10.77,1.27,-,"2,759",6.92,8,3,4,36%,50%,68%,44%,672,38,25,69,1.08,2,1,1.24,0.16,21.92,32.46,-,1.66,2.81,39,184.1km,0.88,61%,71,3.36,86,5,0.31,0,19,Slovenian Third League West,37
- - -,Inj,Desislav Rusev,4.33,0.87,-,"1,753",6.47,4,0,0,0%,46%,66%,41%,372,13,0,21,1.44,0,0,0.67,0.05,19.10,28.75,-,1.69,1.64,17,114.6km,1.33,38%,38,3.65,32,5,0.27,0,20,Bulgarian Third League North-West,42
